graph algo p k cores seed v local_e cross_e read_time running_time rounds matching_size matching_weight
fb_clusterA_full kMM random 4 1 0 357059 43057511 0 14.709921 5.091097 34 16331 17828175836.00
fb_clusterA_full kMM random 4 1 1 357059 43057511 0 14.669599 4.892796 34 16331 17828175836.00
fb_clusterA_full kMM random 4 1 2 357059 43057511 0 14.690978 4.990156 34 16331 17828175836.00
fb_clusterA_full kMM random 4 16 0 357059 2693549 40363962 12.727698 0.856178 35 16330 17835179915.00
fb_clusterA_full kMM random 4 16 1 357059 2693409 40364102 12.510350 0.841017 34 16329 17846262862.00
fb_clusterA_full kMM random 4 16 2 357059 2693762 40363749 12.496486 0.855256 36 16329 17816390240.00
fb_clusterA_full kMM random 4 32 0 357059 1347533 41709978 12.243854 0.647889 36 16326 17830361045.00
fb_clusterA_full kMM random 4 32 1 357059 1346507 41711004 12.331289 0.652126 35 16332 17844657077.00
fb_clusterA_full kMM random 4 32 2 357059 1346563 41710948 12.574623 0.669209 35 16341 17806273293.00
fb_clusterA_full kMM random 4 4 0 357059 10763443 32294068 13.964506 1.656377 33 16337 17843981307.00
fb_clusterA_full kMM random 4 4 1 357059 10771595 32285916 14.048926 1.673151 34 16340 17838266770.00
fb_clusterA_full kMM random 4 4 2 357059 10764721 32292790 14.063065 1.637955 34 16334 17838358799.00
fb_clusterA_full kMM random 4 8 0 357059 5384110 37673401 13.030147 1.031143 34 16330 17832177213.00
fb_clusterA_full kMM random 4 8 1 357059 5383848 37673663 13.059209 1.049365 36 16331 17842531782.00
fb_clusterA_full kMM random 4 8 2 357059 5383808 37673703 13.141385 1.070781 33 16333 17808826990.00
fb_clusterA_full kMM random 8 1 0 357059 43057511 0 14.758735 6.973093 46 32346 29103283227.00
fb_clusterA_full kMM random 8 1 1 357059 43057511 0 14.688827 6.747568 46 32346 29103283227.00
fb_clusterA_full kMM random 8 1 2 357059 43057511 0 14.648489 6.859105 46 32346 29103283227.00
fb_clusterA_full kMM random 8 16 0 357059 2693549 40363962 12.737755 1.177915 48 32345 29104117491.00
fb_clusterA_full kMM random 8 16 1 357059 2693409 40364102 12.579642 1.215242 48 32348 29098232164.00
