graph,algo,k,seed,n,m,read_time,running_time,matching_size,matching_weight
rmat_s16_ef48_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,2,65536,3076205,1.230054,2.082452,482214,37326597890.00
rmat_s14_ef48_0.45_0.15_0.15_0.25_uni,kMM_1,16,0,16384,746906,0.469599,0.055351,122166,50343988272.00
rmat_s14_ef48_0.45_0.15_0.15_0.25_uni,kMM_1,16,1,16384,746906,0.327615,0.055880,122166,50343988272.00
rmat_s14_ef48_0.45_0.15_0.15_0.25_uni,kMM_1,16,2,16384,746906,0.344673,0.042498,122166,50343988272.00
rmat_s14_ef48_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,0,16384,746906,0.364390,0.590912,122346,50566354973.00
rmat_s14_ef48_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,1,16384,746906,0.470887,0.549080,122350,50566380247.00
rmat_s14_ef48_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,2,16384,746906,0.300304,0.436834,122345,50565897747.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_uni,kMM_1,16,0,131072,5725537,3.296183,0.401452,575756,217842155496.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_uni,kMM_1,16,1,131072,5725537,3.358285,0.352944,575756,217842155496.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_uni,kMM_1,16,2,131072,5725537,2.629830,0.313903,575756,217842155496.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_uni,MRepLM_1,16,0,131072,5725537,3.654444,6.984835,571349,215901434696.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_uni,MRepLM_1,16,1,131072,5725537,3.654826,7.018935,571330,215898446593.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_uni,MRepLM_1,16,2,131072,5725537,2.278028,4.607731,571342,215901948291.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,0,8388608,198780903,133.329365,186.813607,23779741,1520522324340.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,1,8388608,198780903,135.611764,187.884115,23779741,1520522324340.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,2,8388608,198780903,85.748395,125.005749,23779741,1520522324340.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,0,8388608,198780903,131.991670,798.230855,23648167,1515184507867.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,1,8388608,198780903,132.483574,804.484863,23648193,1515185555712.00
rmat_s23_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,2,8388608,198780903,131.864237,592.444488,23648174,1515184267822.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_uni,kMM_1,16,0,32768,1349809,0.800501,0.145104,155564,59250713361.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_uni,kMM_1,16,1,32768,1349809,0.991942,0.126355,155564,59250713361.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_uni,kMM_1,16,2,32768,1349809,0.740603,0.084976,155564,59250713361.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_uni,MRepLM_1,16,0,32768,1349809,0.930095,1.060987,154517,58735362083.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_uni,MRepLM_1,16,1,32768,1349809,0.750214,1.228396,154519,58735346070.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_uni,MRepLM_1,16,2,32768,1349809,0.819080,1.164979,154519,58735198824.00
rmat_s19_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,0,524288,23756720,14.953610,6.951046,2136702,153681147889.00
rmat_s19_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,1,524288,23756720,14.258385,7.325155,2136702,153681147889.00
rmat_s19_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,2,524288,23756720,14.426847,6.438015,2136702,153681147889.00
rmat_s19_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,0,524288,23756720,14.396570,38.913858,2124880,153137801341.00
rmat_s19_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,1,524288,23756720,15.150004,39.406787,2124869,153137731512.00
