graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s27_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 128 0 134217728 8388363 1065262072 41.914394 7.030912 51 196299603 73901323064579.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 128 1 134217728 8385690 1065264745 42.014263 7.125620 51 196299534 73901323668288.00
rmat_s27_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 128 2 134217728 8392543 1065257892 42.404096 7.036596 51 196299557 73901330089645.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_exp kCS random 4 128 0 134217728 8377623 1063455079 38.811572 5.585823 58 84619286 5701195127799.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_exp kCS random 4 128 1 134217728 8375617 1063457085 38.236773 5.798212 57 84619296 5701195445358.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_exp kCS random 4 128 2 134217728 8368901 1063463801 38.273783 5.599109 58 84619299 5701196006119.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_uni kCS random 4 128 0 134217728 8379269 1063451366 40.322208 5.586687 59 84616264 30544657384364.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_uni kCS random 4 128 1 134217728 8371126 1063459509 40.601272 5.558534 59 84616274 30544667608292.00
rmat_s27_ef8_0.55_0.15_0.15_0.15_uni kCS random 4 128 2 134217728 8372907 1063457728 40.425079 5.586553 59 84616260 30544657179008.00
rmat_s26_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 16 0 67108864 33552532 503318304 44.361689 24.050947 45 125065386 8854422200191.00
rmat_s26_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 16 1 67108864 33560158 503310678 43.846194 23.955910 45 125065369 8854420678476.00
rmat_s26_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 16 2 67108864 33546013 503324823 44.097564 23.984930 45 125065321 8854420549794.00
rmat_s26_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 16 0 67108864 33554114 503316741 44.593813 23.975287 45 125065205 50660540654503.00
