graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 32 2 1048576 1566451 48568837 20.947231 0.571368 105 3903504 362538651240.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 32 2 1048576 1566532 48569107 20.886909 0.586630 104 3904159 1689086479759.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 32 2 1048576 1504839 46616652 19.867133 0.516405 100 2384058 193423310667.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 32 2 1048576 1503146 46622656 19.704113 0.517121 99 2384764 931775934348.00
fbA kCS random 8 64 0 357059 674509 42383002 16.810396 0.367036 334 32298 29135367040.00
fbA kCS random 8 64 1 357059 672958 42384553 16.791001 0.378910 330 32305 29135359363.00
fbC kCS random 8 64 0 990023 634986 40019725 16.124930 0.861857 337 31001 239913210946.00
fbC kCS random 8 64 1 990023 636691 40018020 16.653399 0.925048 317 30999 239913208117.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 64 0 1048576 785972 49543384 20.299952 0.679016 111 4148176 438656359195.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 64 1 1048576 787006 49542350 20.540827 0.697528 113 4148173 438656969067.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 64 0 1048576 786329 49542917 21.003111 0.683450 108 4148291 1932889605303.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 64 1 1048576 787902 49541344 20.789014 0.681956 108 4148315 1932889975893.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 64 0 1048576 785104 49350184 20.380178 1.013946 105 3903505 362538726581.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 64 1 1048576 784029 49351259 20.591852 1.005900 105 3903502 362538487536.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 64 0 1048576 784128 49351511 20.936325 1.002225 104 3904212 1689093604396.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 64 1 1048576 783380 49352259 20.663190 1.008002 104 3904188 1689092347497.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 64 0 1048576 752109 47369382 19.589660 0.995890 101 2384060 193423407917.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 64 1 1048576 751279 47370212 19.122608 0.994624 101 2384061 193423387715.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 64 0 1048576 751789 47374013 20.153333 1.012380 100 2384724 931767256300.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 64 1 1048576 753536 47372266 22.008508 1.021515 100 2384788 931772678205.00
fbA kCS random 8 64 2 357059 673754 42383757 16.575061 0.361059 333 32293 29135358011.00
fbC kCS random 8 64 2 990023 635401 40019310 16.717877 0.880067 332 31000 239913214155.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 64 2 1048576 786038 49543318 20.746986 0.655166 112 4148162 438656721325.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 64 2 1048576 785855 49543391 20.790029 0.652087 107 4148301 1932891248795.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 64 2 1048576 782200 49353088 20.717588 0.938201 105 3903504 362538651240.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 64 2 1048576 782185 49353454 21.154492 0.961089 104 3904159 1689086479759.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 64 2 1048576 752202 47369289 19.944071 0.961755 100 2384058 193423310667.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 64 2 1048576 751236 47374566 20.154587 0.958510 100 2384764 931775934348.00
