graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 4 4 1 1048576 12532591 37602697 22.076631 1.882036 62 1983090 215865228432.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 4 4 2 1048576 12538050 37597238 21.925873 1.866752 64 1983093 215865348151.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 16 4 0 1048576 12534444 37601195 22.014250 3.848151 164 7500249 3039072419552.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 16 4 1 1048576 12537200 37598439 22.122992 3.861462 165 7500097 3039059562419.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 16 4 2 1048576 12531868 37603771 22.776013 3.861714 165 7500096 3039064321603.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 32 4 0 1048576 12534444 37601195 22.161873 6.083803 271 13661239 5046498212181.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 32 4 1 1048576 12537200 37598439 22.185051 5.996365 272 13661070 5046494581880.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 32 4 2 1048576 12531868 37603771 22.137147 6.004889 275 13661194 5046498746792.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 4 4 0 1048576 12534444 37601195 22.362807 1.872628 62 1983336 891730428308.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 4 4 1 1048576 12537200 37598439 22.156435 1.879053 62 1983315 891724534377.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 4 4 2 1048576 12531868 37603771 22.212093 1.869133 63 1983306 891725587516.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 16 4 0 1048576 12030506 36090985 20.615962 3.893263 172 4086018 294533256708.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 16 4 1 1048576 12031109 36090382 20.654367 3.908706 172 4086005 294532984924.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 16 4 2 1048576 12032859 36088632 21.320517 3.917338 173 4086027 294533320334.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 32 4 0 1048576 12030506 36090985 20.768217 6.305638 318 6744780 428174911435.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 32 4 1 1048576 12031109 36090382 20.739463 6.245262 316 6744776 428175011066.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 32 4 2 1048576 12032859 36088632 20.807613 6.303360 316 6744782 428175056530.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 4 4 0 1048576 12030506 36090985 20.701460 1.984188 61 1324968 120664678742.00
