graph algo epsilon k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
fb_clusterA_full kM 1 2 32 2 357059 1346563 41710948 3.240972 0.307589 2 8802 125153119.00
fb_clusterA_full kM 1 2 8 0 357059 5384110 37673401 2.955572 0.486381 2 8813 178329676.00
fb_clusterA_full kM 1 2 8 1 357059 5383848 37673663 2.991008 0.540798 2 8815 139388836.00
fb_clusterA_full kM 1 2 8 2 357059 5383808 37673703 3.028957 0.498095 2 8809 176401759.00
fb_clusterA_full kM 1 8 1 0 357059 43057511 0 12.411789 4.397207 1 34565 1052916782.00
fb_clusterA_full kM 1 8 1 1 357059 43057511 0 13.934810 6.127338 1 34565 1052916782.00
fb_clusterA_full kM 1 8 1 2 357059 43057511 0 15.561146 7.057555 1 34565 1052916782.00
fb_clusterA_full kM 1 8 32 0 357059 1347533 41709978 2.404431 0.439901 2 34459 487895673.00
fb_clusterA_full kM 1 8 32 1 357059 1346507 41711004 3.003136 0.405251 2 34441 457775417.00
fb_clusterA_full kM 1 8 32 2 357059 1346563 41710948 2.794128 0.376722 3 34441 469294638.00
fb_clusterA_full kM 1 8 8 0 357059 5384110 37673401 2.972178 0.693326 2 34441 626826389.00
fb_clusterA_full kM 1 8 8 1 357059 5383848 37673663 3.006651 0.700197 2 34466 582183692.00
fb_clusterA_full kM 1 8 8 2 357059 5383808 37673703 3.230622 0.704301 2 34449 607194083.00
fb_clusterB_full kM 0.0001 16 1 0 4965001 164347164 0 47.768363 6716.981169 571 184387 69006744694.00
fb_clusterB_full kM 0.0001 16 1 1 4965001 164347164 0 49.267278 6723.976879 571 184387 69006744694.00
fb_clusterB_full kM 0.0001 16 1 2 4965001 164347164 0 47.757496 6737.127271 571 184387 69006744694.00
fb_clusterB_full kM 0.0001 16 32 0 4965001 5135560 159211604 14.359833 214.150987 600 184381 69018230651.00
fb_clusterB_full kM 0.0001 16 32 1 4965001 5135404 159211760 18.181708 250.798710 611 184383 68977039103.00
fb_clusterB_full kM 0.0001 16 32 2 4965001 5135525 159211639 20.548770 210.232224 562 184404 68995789852.00
fb_clusterB_full kM 0.0001 16 8 0 4965001 20546385 143800779 14.911640 250.091259 562 184390 69013069538.00
fb_clusterB_full kM 0.0001 16 8 1 4965001 20547942 143799222 14.362575 264.842836 586 184396 69017311962.00
fb_clusterB_full kM 0.0001 16 8 2 4965001 20540924 143806240 14.732837 278.562183 591 184408 69005566933.00
fb_clusterB_full kM 0.0001 2 1 0 4965001 164347164 0 92.705014 361.800864 63 25439 14347083025.00
fb_clusterB_full kM 0.0001 2 1 1 4965001 164347164 0 105.452682 369.751789 63 25439 14347083025.00
fb_clusterB_full kM 0.0001 2 1 2 4965001 164347164 0 106.409304 369.334186 63 25439 14347083025.00
fb_clusterB_full kM 0.0001 2 32 0 4965001 5135560 159211604 24.498441 11.439956 62 25431 14376664337.00
fb_clusterB_full kM 0.0001 2 32 1 4965001 5135404 159211760 24.509329 12.395040 65 25440 14370629638.00
fb_clusterB_full kM 0.0001 2 32 2 4965001 5135525 159211639 24.643237 11.037242 62 25454 14360780504.00
fb_clusterB_full kM 0.0001 2 8 0 4965001 20546385 143800779 14.198822 12.556784 74 25441 14377697007.00
fb_clusterB_full kM 0.0001 2 8 1 4965001 20547942 143799222 13.768731 12.229220 64 25442 14343243896.00
fb_clusterB_full kM 0.0001 2 8 2 4965001 20540924 143806240 27.660559 17.907138 60 25440 14343071711.00
fb_clusterB_full kM 0.0001 8 1 0 4965001 164347164 0 94.228526 3202.233880 308 95207 40441098852.00
fb_clusterB_full kM 0.0001 8 1 1 4965001 164347164 0 100.744638 3190.795700 308 95207 40441098852.00
fb_clusterB_full kM 0.0001 8 1 2 4965001 164347164 0 103.951760 3198.656665 308 95207 40441098852.00
fb_clusterB_full kM 0.0001 8 32 0 4965001 5135560 159211604 13.811462 61.113574 293 95197 40440508662.00
fb_clusterB_full kM 0.0001 8 32 1 4965001 5135404 159211760 19.521010 66.252747 312 95239 40434622541.00
fb_clusterB_full kM 0.0001 8 32 2 4965001 5135525 159211639 17.648324 60.271346 292 95203 40444393463.00
fb_clusterB_full kM 0.0001 8 8 0 4965001 20546385 143800779 13.969029 92.645034 308 95189 40458783769.00
fb_clusterB_full kM 0.0001 8 8 1 4965001 20547942 143799222 13.663118 101.238200 311 95207 40418965470.00
fb_clusterB_full kM 0.0001 8 8 2 4965001 20540924 143806240 17.593364 102.906220 280 95219 40423337003.00
fb_clusterB_full kM 0.001 16 1 0 4965001 164347164 0 102.023522 6500.610593 505 184374 69000439651.00
fb_clusterB_full kM 0.001 16 1 1 4965001 164347164 0 99.650754 6496.774193 505 184374 69000439651.00
fb_clusterB_full kM 0.001 16 1 2 4965001 164347164 0 100.076064 6507.775529 505 184374 69000439651.00
fb_clusterB_full kM 0.001 16 32 0 4965001 5135560 159211604 13.358674 189.680980 520 184371 68963354766.00
fb_clusterB_full kM 0.001 16 32 1 4965001 5135404 159211760 14.745996 182.999074 519 184349 68986171451.00
fb_clusterB_full kM 0.001 16 32 2 4965001 5135525 159211639 20.432742 176.315165 504 184400 68991758187.00
fb_clusterB_full kM 0.001 16 8 0 4965001 20546385 143800779 14.258136 222.750773 504 184348 68975016055.00
fb_clusterB_full kM 0.001 16 8 1 4965001 20547942 143799222 14.280972 225.747776 526 184381 69012416793.00
fb_clusterB_full kM 0.001 16 8 2 4965001 20540924 143806240 14.635355 264.408657 545 184399 68985149971.00
fb_clusterB_full kM 0.001 2 1 0 4965001 164347164 0 101.332358 299.736085 52 25445 14387017081.00
fb_clusterB_full kM 0.001 2 1 1 4965001 164347164 0 94.318225 293.799836 52 25445 14387017081.00
fb_clusterB_full kM 0.001 2 1 2 4965001 164347164 0 94.793209 293.455407 52 25445 14387017081.00
fb_clusterB_full kM 0.001 2 32 0 4965001 5135560 159211604 19.505796 9.024713 57 25446 14377733087.00
fb_clusterB_full kM 0.001 2 32 1 4965001 5135404 159211760 19.815136 9.137692 54 25438 14387060747.00
fb_clusterB_full kM 0.001 2 32 2 4965001 5135525 159211639 19.933875 8.445785 59 25449 14376504740.00
fb_clusterB_full kM 0.001 2 8 0 4965001 20546385 143800779 14.360305 13.239663 64 25431 14372332725.00
fb_clusterB_full kM 0.001 2 8 1 4965001 20547942 143799222 13.806241 12.812890 64 25456 14379891658.00
fb_clusterB_full kM 0.001 2 8 2 4965001 20540924 143806240 14.368597 12.299765 57 25460 14352297128.00
fb_clusterB_full kM 0.001 8 1 0 4965001 164347164 0 93.747686 2750.343230 259 95182 40452309443.00
fb_clusterB_full kM 0.001 8 1 1 4965001 164347164 0 93.109766 2741.789066 259 95182 40452309443.00
fb_clusterB_full kM 0.001 8 1 2 4965001 164347164 0 102.352118 2744.512377 259 95182 40452309443.00
fb_clusterB_full kM 0.001 8 32 0 4965001 5135560 159211604 13.413184 63.115590 296 95197 40462425010.00
fb_clusterB_full kM 0.001 8 32 1 4965001 5135404 159211760 14.007322 63.324017 274 95223 40431906409.00
fb_clusterB_full kM 0.001 8 32 2 4965001 5135525 159211639 16.409537 46.410760 288 95218 40426426463.00
fb_clusterB_full kM 0.001 8 8 0 4965001 20546385 143800779 14.015881 86.010066 277 95192 40444867411.00
fb_clusterB_full kM 0.001 8 8 1 4965001 20547942 143799222 13.517798 86.198944 290 95190 40432366258.00
fb_clusterB_full kM 0.001 8 8 2 4965001 20540924 143806240 17.093627 106.575520 276 95203 40450072473.00
fb_clusterB_full kM 0.01 16 1 0 4965001 164347164 0 98.826284 2965.358593 265 184415 68977592472.00
fb_clusterB_full kM 0.01 16 1 1 4965001 164347164 0 101.106913 2980.217650 265 184415 68977592472.00
fb_clusterB_full kM 0.01 16 1 2 4965001 164347164 0 101.210006 2973.544697 265 184415 68977592472.00
fb_clusterB_full kM 0.01 16 32 0 4965001 5135560 159211604 13.202958 60.990416 261 184395 69001597568.00
fb_clusterB_full kM 0.01 16 32 1 4965001 5135404 159211760 16.687089 78.075768 274 184418 69010226750.00
fb_clusterB_full kM 0.01 16 32 2 4965001 5135525 159211639 14.718716 94.903533 284 184440 68997877252.00
fb_clusterB_full kM 0.01 16 8 0 4965001 20546385 143800779 13.896745 100.761770 257 184393 69030274470.00
fb_clusterB_full kM 0.01 16 8 1 4965001 20547942 143799222 15.341614 123.717700 282 184433 68990330562.00
